OBJECTID,ID,Waterfall Name,Alternate Name,Municipality,County,Waterfall Type 1,Waterfall Type 2,Approximate Height (ft),Approximate Height 2 (ft),Access,Comments,Measurement,Date Measured,Stream Name,NJSPC83 Easting (X),NJSPC83 Northing (Y),GlobalID,x,y
1,27,Allamuchy Falls,,Byram Twp.,Sussex,Cascade, ,9.68,7,Public,"Located in Allamuchy Mountain State Park, this waterfall is easy to find.  From Waterloo Road, follow the Sussex Branch trail, an abandoned railroad bed, for under a mile to the falls.",Trimble rangefinder,5/9/2019 12:00:00 AM,Jefferson Lake Tributary,426335.368,764606.933,bbbf0c68-16aa-4d81-8db9-976f1e3e905c,426335.367977008,764606.93295186
2,109,Apshawa Falls,,West Milford Twp.,Passaic,Cascade, ,8.5,8.5,Public,Located in Apshawa Preserve on Apshawa Creek. Its a few miles from the parking area for Apshawa Preserve.,Estimate,5/24/2023 12:00:00 AM,Apshawa Creek,524366.923,796009.519,f469f397-9cfc-4148-a768-f0ec8fc2cc12,524366.92289776,796009.519096687
3,118,Bear Swamp Brook Falls Lower,,Mahwah Twp.,Bergen,Cascade, ,15,15,Public,"This falls slides over a big rounded ledge of gneiss into a shallow pool. The falls is up Bear Swamp Road, a private road about one mile from U.S. Route 202.",Literature search,5/25/2023 12:00:00 AM,Bear Swamp Brook,569200.226,817439.079,c49b73cb-3293-453f-88c3-b04da0ff5698,569200.22594751,817439.078927778
4,117,Bear Swamp Brook Falls Upper,,Mahwah Twp.,Bergen,Cascade, ,12,12,Public,"The falls are up Bear Swamp Road, a private road about one mile from U.S. Route 202.",Literature search,5/25/2023 12:00:00 AM,Bear Swamp Brook,568961.724,817709.178,7b7f8a6a-fea4-40c0-91b5-bf6a5560d1c4,568961.724127926,817709.178125106
5,108,Bear Swamp Brook Unnamed Falls,,Mahwah Twp.,Bergen,Cascade, ,5.3,5.3,Public,"The falls are up Bear Swamp Road, a private road about one mile from U.S. Route 202.",Trimble rangefinder,5/25/2023 12:00:00 AM,Bear Swamp Brook,569465.79,817181.169,86b3ee23-1f31-4d85-a28e-2ba6e3b12f62,569465.790048927,817181.169010527
6,28,Big Tocks Creek Falls,,Hardwick Twp.,Warren,Cascade, ,35.6,35.6,Public,Small waterfall along Old Mine Rd. across from Tocks Island.,Trimble rangefinder,8/2/2018 12:00:00 AM,Big Tocks Creek,336329.36,796744.563,2b0dbeb6-737b-4178-a436-06782f058f76,336329.359997258,796744.56290219
7,116,Black River Park Falls 1,,Chester Twp.,Morris,Cascade, ,4,4,Public,Small waterfall along the Black River in Black River Park.,Estimate,9/10/2021 12:00:00 AM,Black River,431803.931,702634.345,348f50e9-aaa4-41f5-b45d-bffd44d8f9e6,431803.930858761,702634.344955027
8,115,Black River Park Falls 2,,Chester Twp.,Morris,Cascade, ,16,16,Public,Large waterfall along the Black River in Black River Park.,Estimate,9/10/2021 12:00:00 AM,Black River,431760.528,703016.289,78f7b410-02a0-4686-a81a-4cd2ad291855,431760.528058425,703016.289073028
9,80,Blue Brook Waterfall,,Scotch Plains Twp.,Union,Multi-step waterfall,Cascade,5.31,3.24,Public,Located just off of the Sierra Trail on Blue Brook in the Watchung Reservation. A short hike down the trail from Seeley's Pond is a small but picturesque waterfall cascading over the basalt.,Trimble rangefinder,10/8/2021 12:00:00 AM,Blue Mine Brook,519207.362,667178.593,0816499f-b632-4645-9dc4-e2b23dfc7542,519207.362022676,667178.593032025
10,29,Blue Mine Brook Falls,,Ringwood Borough,Passaic,Cascade, ,11.4,11.4,Public,Scenic waterfall next to the Highlands natural pool swimming area.,Trimble rangefinder,9/24/2021 12:00:00 AM,Blue Mine Brook,540014.944,814306.208,750a608a-8b6d-4159-8a11-8392f0db3c38,540014.944095094,814306.20789694
